Activation;e0;L'objectif est de générer 6 électrons neutre et découvrir les liaisons fibres par lesquelles transitent les photons. Certains modifieurs nécessitent désormais l'activation par des photons.;0;99;-46;134;1;136;[0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];0;0;0;0;99999;99999;99999;99999
0;0;0;0;0;0;0;0;0;0
0;0;0;1;0;0;0;0;1;4096
0;1;2;2;0;0;0;0;2;0
0;2;0;0;2;2;2;2;2;2
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;196627;0;0;0;0;196640;0
0;196624;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
